sample_index,input_start_date,normalization_basis_date,information_end_date,input_end_date,execution_date,target_end_date
42,2013-11-07,2013-11-06,2013-11-27,2013-11-27,2013-11-29,2013-12-06
43,2013-11-14,2013-11-13,2013-12-05,2013-12-05,2013-12-06,2013-12-13
44,2013-11-21,2013-11-20,2013-12-12,2013-12-12,2013-12-13,2013-12-20
45,2013-11-29,2013-11-27,2013-12-19,2013-12-19,2013-12-20,2013-12-30
46,2013-12-06,2013-12-05,2013-12-27,2013-12-27,2013-12-30,2014-01-07
47,2013-12-13,2013-12-12,2014-01-06,2014-01-06,2014-01-07,2014-01-14
48,2013-12-20,2013-12-19,2014-01-13,2014-01-13,2014-01-14,2014-01-22
49,2013-12-30,2013-12-27,2014-01-21,2014-01-21,2014-01-22,2014-01-29
50,2014-01-07,2014-01-06,2014-01-28,2014-01-28,2014-01-29,2014-02-05
51,2014-01-14,2014-01-13,2014-02-04,2014-02-04,2014-02-05,2014-02-12
52,2014-01-22,2014-01-21,2014-02-11,2014-02-11,2014-02-12,2014-02-20
53,2014-01-29,2014-01-28,2014-02-19,2014-02-19,2014-02-20,2014-02-27
54,2014-02-05,2014-02-04,2014-02-26,2014-02-26,2014-02-27,2014-03-06
55,2014-02-12,2014-02-11,2014-03-05,2014-03-05,2014-03-06,2014-03-13
56,2014-02-20,2014-02-19,2014-03-12,2014-03-12,2014-03-13,2014-03-20
57,2014-02-27,2014-02-26,2014-03-19,2014-03-19,2014-03-20,2014-03-27
58,2014-03-06,2014-03-05,2014-03-26,2014-03-26,2014-03-27,2014-04-03
59,2014-03-13,2014-03-12,2014-04-02,2014-04-02,2014-04-03,2014-04-10
60,2014-03-20,2014-03-19,2014-04-09,2014-04-09,2014-04-10,2014-04-17
61,2014-03-27,2014-03-26,2014-04-16,2014-04-16,2014-04-17,2014-04-25
62,2014-04-03,2014-04-02,2014-04-24,2014-04-24,2014-04-25,2014-05-02
63,2014-04-10,2014-04-09,2014-05-01,2014-05-01,2014-05-02,2014-05-09
64,2014-04-17,2014-04-16,2014-05-08,2014-05-08,2014-05-09,2014-05-16
65,2014-04-25,2014-04-24,2014-05-15,2014-05-15,2014-05-16,2014-05-23
66,2014-05-02,2014-05-01,2014-05-22,2014-05-22,2014-05-23,2014-06-02
67,2014-05-09,2014-05-08,2014-05-30,2014-05-30,2014-06-02,2014-06-09
68,2014-05-16,2014-05-15,2014-06-06,2014-06-06,2014-06-09,2014-06-16
69,2014-05-23,2014-05-22,2014-06-13,2014-06-13,2014-06-16,2014-06-23
70,2014-06-02,2014-05-30,2014-06-20,2014-06-20,2014-06-23,2014-06-30
71,2014-06-09,2014-06-06,2014-06-27,2014-06-27,2014-06-30,2014-07-08
72,2014-06-16,2014-06-13,2014-07-07,2014-07-07,2014-07-08,2014-07-15
73,2014-06-23,2014-06-20,2014-07-14,2014-07-14,2014-07-15,2014-07-22
74,2014-06-30,2014-06-27,2014-07-21,2014-07-21,2014-07-22,2014-07-29
75,2014-07-08,2014-07-07,2014-07-28,2014-07-28,2014-07-29,2014-08-05
76,2014-07-15,2014-07-14,2014-08-04,2014-08-04,2014-08-05,2014-08-12
77,2014-07-22,2014-07-21,2014-08-11,2014-08-11,2014-08-12,2014-08-19
78,2014-07-29,2014-07-28,2014-08-18,2014-08-18,2014-08-19,2014-08-26
79,2014-08-05,2014-08-04,2014-08-25,2014-08-25,2014-08-26,2014-09-03
80,2014-08-12,2014-08-11,2014-09-02,2014-09-02,2014-09-03,2014-09-10
81,2014-08-19,2014-08-18,2014-09-09,2014-09-09,2014-09-10,2014-09-17
82,2014-08-26,2014-08-25,2014-09-16,2014-09-16,2014-09-17,2014-09-24
83,2014-09-03,2014-09-02,2014-09-23,2014-09-23,2014-09-24,2014-10-01
84,2014-09-10,2014-09-09,2014-09-30,2014-09-30,2014-10-01,2014-10-08
85,2014-09-17,2014-09-16,2014-10-07,2014-10-07,2014-10-08,2014-10-15
86,2014-09-24,2014-09-23,2014-10-14,2014-10-14,2014-10-15,2014-10-22
87,2014-10-01,2014-09-30,2014-10-21,2014-10-21,2014-10-22,2014-10-29
88,2014-10-08,2014-10-07,2014-10-28,2014-10-28,2014-10-29,2014-11-05
89,2014-10-15,2014-10-14,2014-11-04,2014-11-04,2014-11-05,2014-11-12
90,2014-10-22,2014-10-21,2014-11-11,2014-11-11,2014-11-12,2014-11-19
91,2014-10-29,2014-10-28,2014-11-18,2014-11-18,2014-11-19,2014-11-26
92,2014-11-05,2014-11-04,2014-11-25,2014-11-25,2014-11-26,2014-12-04
93,2014-11-12,2014-11-11,2014-12-03,2014-12-03,2014-12-04,2014-12-11
94,2014-11-19,2014-11-18,2014-12-10,2014-12-10,2014-12-11,2014-12-18
95,2014-11-26,2014-11-25,2014-12-17,2014-12-17,2014-12-18,2014-12-26
96,2014-12-04,2014-12-03,2014-12-24,2014-12-24,2014-12-26,2015-01-05
97,2014-12-11,2014-12-10,2015-01-02,2015-01-02,2015-01-05,2015-01-12
98,2014-12-18,2014-12-17,2015-01-09,2015-01-09,2015-01-12,2015-01-20
99,2014-12-26,2014-12-24,2015-01-16,2015-01-16,2015-01-20,2015-01-27
100,2015-01-05,2015-01-02,2015-01-26,2015-01-26,2015-01-27,2015-02-03
101,2015-01-12,2015-01-09,2015-02-02,2015-02-02,2015-02-03,2015-02-10
102,2015-01-20,2015-01-16,2015-02-09,2015-02-09,2015-02-10,2015-02-18
103,2015-01-27,2015-01-26,2015-02-17,2015-02-17,2015-02-18,2015-02-25
104,2015-02-03,2015-02-02,2015-02-24,2015-02-24,2015-02-25,2015-03-04
105,2015-02-10,2015-02-09,2015-03-03,2015-03-03,2015-03-04,2015-03-11
106,2015-02-18,2015-02-17,2015-03-10,2015-03-10,2015-03-11,2015-03-18
107,2015-02-25,2015-02-24,2015-03-17,2015-03-17,2015-03-18,2015-03-25
108,2015-03-04,2015-03-03,2015-03-24,2015-03-24,2015-03-25,2015-04-01
109,2015-03-11,2015-03-10,2015-03-31,2015-03-31,2015-04-01,2015-04-09
110,2015-03-18,2015-03-17,2015-04-08,2015-04-08,2015-04-09,2015-04-16
111,2015-03-25,2015-03-24,2015-04-15,2015-04-15,2015-04-16,2015-04-23
112,2015-04-01,2015-03-31,2015-04-22,2015-04-22,2015-04-23,2015-04-30
113,2015-04-09,2015-04-08,2015-04-29,2015-04-29,2015-04-30,2015-05-07
114,2015-04-16,2015-04-15,2015-05-06,2015-05-06,2015-05-07,2015-05-14
115,2015-04-23,2015-04-22,2015-05-13,2015-05-13,2015-05-14,2015-05-21
116,2015-04-30,2015-04-29,2015-05-20,2015-05-20,2015-05-21,2015-05-29
117,2015-05-07,2015-05-06,2015-05-28,2015-05-28,2015-05-29,2015-06-05
118,2015-05-14,2015-05-13,2015-06-04,2015-06-04,2015-06-05,2015-06-12
119,2015-05-21,2015-05-20,2015-06-11,2015-06-11,2015-06-12,2015-06-19
120,2015-05-29,2015-05-28,2015-06-18,2015-06-18,2015-06-19,2015-06-26
121,2015-06-05,2015-06-04,2015-06-25,2015-06-25,2015-06-26,2015-07-06
122,2015-06-12,2015-06-11,2015-07-02,2015-07-02,2015-07-06,2015-07-13
123,2015-06-19,2015-06-18,2015-07-10,2015-07-10,2015-07-13,2015-07-20
124,2015-06-26,2015-06-25,2015-07-17,2015-07-17,2015-07-20,2015-07-27
125,2015-07-06,2015-07-02,2015-07-24,2015-07-24,2015-07-27,2015-08-03
126,2015-07-13,2015-07-10,2015-07-31,2015-07-31,2015-08-03,2015-08-10
127,2015-07-20,2015-07-17,2015-08-07,2015-08-07,2015-08-10,2015-08-17
128,2015-07-27,2015-07-24,2015-08-14,2015-08-14,2015-08-17,2015-08-24
129,2015-08-03,2015-07-31,2015-08-21,2015-08-21,2015-08-24,2015-08-31
130,2015-08-10,2015-08-07,2015-08-28,2015-08-28,2015-08-31,2015-09-08
131,2015-08-17,2015-08-14,2015-09-04,2015-09-04,2015-09-08,2015-09-15
132,2015-08-24,2015-08-21,2015-09-14,2015-09-14,2015-09-15,2015-09-22
133,2015-08-31,2015-08-28,2015-09-21,2015-09-21,2015-09-22,2015-09-29
134,2015-09-08,2015-09-04,2015-09-28,2015-09-28,2015-09-29,2015-10-06
135,2015-09-15,2015-09-14,2015-10-05,2015-10-05,2015-10-06,2015-10-13
136,2015-09-22,2015-09-21,2015-10-12,2015-10-12,2015-10-13,2015-10-20
137,2015-09-29,2015-09-28,2015-10-19,2015-10-19,2015-10-20,2015-10-27
138,2015-10-06,2015-10-05,2015-10-26,2015-10-26,2015-10-27,2015-11-03
139,2015-10-13,2015-10-12,2015-11-02,2015-11-02,2015-11-03,2015-11-10
140,2015-10-20,2015-10-19,2015-11-09,2015-11-09,2015-11-10,2015-11-17
141,2015-10-27,2015-10-26,2015-11-16,2015-11-16,2015-11-17,2015-11-24
142,2015-11-03,2015-11-02,2015-11-23,2015-11-23,2015-11-24,2015-12-02
143,2015-11-10,2015-11-09,2015-12-01,2015-12-01,2015-12-02,2015-12-09
144,2015-11-17,2015-11-16,2015-12-08,2015-12-08,2015-12-09,2015-12-16
145,2015-11-24,2015-11-23,2015-12-15,2015-12-15,2015-12-16,2015-12-23
146,2015-12-02,2015-12-01,2015-12-22,2015-12-22,2015-12-23,2015-12-31
147,2015-12-09,2015-12-08,2015-12-30,2015-12-30,2015-12-31,2016-01-08
148,2015-12-16,2015-12-15,2016-01-07,2016-01-07,2016-01-08,2016-01-15
149,2015-12-23,2015-12-22,2016-01-14,2016-01-14,2016-01-15,2016-01-25
150,2015-12-31,2015-12-30,2016-01-22,2016-01-22,2016-01-25,2016-02-01
151,2016-01-08,2016-01-07,2016-01-29,2016-01-29,2016-02-01,2016-02-08
152,2016-01-15,2016-01-14,2016-02-05,2016-02-05,2016-02-08,2016-02-16
153,2016-01-25,2016-01-22,2016-02-12,2016-02-12,2016-02-16,2016-02-23
154,2016-02-01,2016-01-29,2016-02-22,2016-02-22,2016-02-23,2016-03-01
155,2016-02-08,2016-02-05,2016-02-29,2016-02-29,2016-03-01,2016-03-08
156,2016-02-16,2016-02-12,2016-03-07,2016-03-07,2016-03-08,2016-03-15
157,2016-02-23,2016-02-22,2016-03-14,2016-03-14,2016-03-15,2016-03-22
158,2016-03-01,2016-02-29,2016-03-21,2016-03-21,2016-03-22,2016-03-30
159,2016-03-08,2016-03-07,2016-03-29,2016-03-29,2016-03-30,2016-04-06
160,2016-03-15,2016-03-14,2016-04-05,2016-04-05,2016-04-06,2016-04-13
161,2016-03-22,2016-03-21,2016-04-12,2016-04-12,2016-04-13,2016-04-20
162,2016-03-30,2016-03-29,2016-04-19,2016-04-19,2016-04-20,2016-04-27
163,2016-04-06,2016-04-05,2016-04-26,2016-04-26,2016-04-27,2016-05-04
164,2016-04-13,2016-04-12,2016-05-03,2016-05-03,2016-05-04,2016-05-11
165,2016-04-20,2016-04-19,2016-05-10,2016-05-10,2016-05-11,2016-05-18
166,2016-04-27,2016-04-26,2016-05-17,2016-05-17,2016-05-18,2016-05-25
167,2016-05-04,2016-05-03,2016-05-24,2016-05-24,2016-05-25,2016-06-02
168,2016-05-11,2016-05-10,2016-06-01,2016-06-01,2016-06-02,2016-06-09
169,2016-05-18,2016-05-17,2016-06-08,2016-06-08,2016-06-09,2016-06-16
170,2016-05-25,2016-05-24,2016-06-15,2016-06-15,2016-06-16,2016-06-23
171,2016-06-02,2016-06-01,2016-06-22,2016-06-22,2016-06-23,2016-06-30
172,2016-06-09,2016-06-08,2016-06-29,2016-06-29,2016-06-30,2016-07-08
173,2016-06-16,2016-06-15,2016-07-07,2016-07-07,2016-07-08,2016-07-15
174,2016-06-23,2016-06-22,2016-07-14,2016-07-14,2016-07-15,2016-07-22
175,2016-06-30,2016-06-29,2016-07-21,2016-07-21,2016-07-22,2016-07-29
176,2016-07-08,2016-07-07,2016-07-28,2016-07-28,2016-07-29,2016-08-05
177,2016-07-15,2016-07-14,2016-08-04,2016-08-04,2016-08-05,2016-08-12
178,2016-07-22,2016-07-21,2016-08-11,2016-08-11,2016-08-12,2016-08-19
179,2016-07-29,2016-07-28,2016-08-18,2016-08-18,2016-08-19,2016-08-26
180,2016-08-05,2016-08-04,2016-08-25,2016-08-25,2016-08-26,2016-09-02
181,2016-08-12,2016-08-11,2016-09-01,2016-09-01,2016-09-02,2016-09-12
182,2016-08-19,2016-08-18,2016-09-09,2016-09-09,2016-09-12,2016-09-19
183,2016-08-26,2016-08-25,2016-09-16,2016-09-16,2016-09-19,2016-09-26
184,2016-09-02,2016-09-01,2016-09-23,2016-09-23,2016-09-26,2016-10-03
185,2016-09-12,2016-09-09,2016-09-30,2016-09-30,2016-10-03,2016-10-10
186,2016-09-19,2016-09-16,2016-10-07,2016-10-07,2016-10-10,2016-10-17
187,2016-09-26,2016-09-23,2016-10-14,2016-10-14,2016-10-17,2016-10-24
188,2016-10-03,2016-09-30,2016-10-21,2016-10-21,2016-10-24,2016-10-31
189,2016-10-10,2016-10-07,2016-10-28,2016-10-28,2016-10-31,2016-11-07
190,2016-10-17,2016-10-14,2016-11-04,2016-11-04,2016-11-07,2016-11-14
191,2016-10-24,2016-10-21,2016-11-11,2016-11-11,2016-11-14,2016-11-21
192,2016-10-31,2016-10-28,2016-11-18,2016-11-18,2016-11-21,2016-11-29
193,2016-11-07,2016-11-04,2016-11-28,2016-11-28,2016-11-29,2016-12-06
194,2016-11-14,2016-11-11,2016-12-05,2016-12-05,2016-12-06,2016-12-13
195,2016-11-21,2016-11-18,2016-12-12,2016-12-12,2016-12-13,2016-12-20
196,2016-11-29,2016-11-28,2016-12-19,2016-12-19,2016-12-20,2016-12-28
197,2016-12-06,2016-12-05,2016-12-27,2016-12-27,2016-12-28,2017-01-05
198,2016-12-13,2016-12-12,2017-01-04,2017-01-04,2017-01-05,2017-01-12
199,2016-12-20,2016-12-19,2017-01-11,2017-01-11,2017-01-12,2017-01-20
200,2016-12-28,2016-12-27,2017-01-19,2017-01-19,2017-01-20,2017-01-27
201,2017-01-05,2017-01-04,2017-01-26,2017-01-26,2017-01-27,2017-02-03
202,2017-01-12,2017-01-11,2017-02-02,2017-02-02,2017-02-03,2017-02-10
203,2017-01-20,2017-01-19,2017-02-09,2017-02-09,2017-02-10,2017-02-17
204,2017-01-27,2017-01-26,2017-02-16,2017-02-16,2017-02-17,2017-02-27
205,2017-02-03,2017-02-02,2017-02-24,2017-02-24,2017-02-27,2017-03-06
206,2017-02-10,2017-02-09,2017-03-03,2017-03-03,2017-03-06,2017-03-13
207,2017-02-17,2017-02-16,2017-03-10,2017-03-10,2017-03-13,2017-03-20
208,2017-02-27,2017-02-24,2017-03-17,2017-03-17,2017-03-20,2017-03-27
209,2017-03-06,2017-03-03,2017-03-24,2017-03-24,2017-03-27,2017-04-03
210,2017-03-13,2017-03-10,2017-03-31,2017-03-31,2017-04-03,2017-04-10
211,2017-03-20,2017-03-17,2017-04-07,2017-04-07,2017-04-10,2017-04-18
212,2017-03-27,2017-03-24,2017-04-17,2017-04-17,2017-04-18,2017-04-25
213,2017-04-03,2017-03-31,2017-04-24,2017-04-24,2017-04-25,2017-05-02
214,2017-04-10,2017-04-07,2017-05-01,2017-05-01,2017-05-02,2017-05-09
215,2017-04-18,2017-04-17,2017-05-08,2017-05-08,2017-05-09,2017-05-16
216,2017-04-25,2017-04-24,2017-05-15,2017-05-15,2017-05-16,2017-05-23
217,2017-05-02,2017-05-01,2017-05-22,2017-05-22,2017-05-23,2017-05-31
218,2017-05-09,2017-05-08,2017-05-30,2017-05-30,2017-05-31,2017-06-07
219,2017-05-16,2017-05-15,2017-06-06,2017-06-06,2017-06-07,2017-06-14
220,2017-05-23,2017-05-22,2017-06-13,2017-06-13,2017-06-14,2017-06-21
221,2017-05-31,2017-05-30,2017-06-20,2017-06-20,2017-06-21,2017-06-28
222,2017-06-07,2017-06-06,2017-06-27,2017-06-27,2017-06-28,2017-07-06
223,2017-06-14,2017-06-13,2017-07-05,2017-07-05,2017-07-06,2017-07-13
224,2017-06-21,2017-06-20,2017-07-12,2017-07-12,2017-07-13,2017-07-20
225,2017-06-28,2017-06-27,2017-07-19,2017-07-19,2017-07-20,2017-07-27
226,2017-07-06,2017-07-05,2017-07-26,2017-07-26,2017-07-27,2017-08-03
227,2017-07-13,2017-07-12,2017-08-02,2017-08-02,2017-08-03,2017-08-10
228,2017-07-20,2017-07-19,2017-08-09,2017-08-09,2017-08-10,2017-08-17
229,2017-07-27,2017-07-26,2017-08-16,2017-08-16,2017-08-17,2017-08-24
230,2017-08-03,2017-08-02,2017-08-23,2017-08-23,2017-08-24,2017-08-31
231,2017-08-10,2017-08-09,2017-08-30,2017-08-30,2017-08-31,2017-09-08
232,2017-08-17,2017-08-16,2017-09-07,2017-09-07,2017-09-08,2017-09-15
233,2017-08-24,2017-08-23,2017-09-14,2017-09-14,2017-09-15,2017-09-22
234,2017-08-31,2017-08-30,2017-09-21,2017-09-21,2017-09-22,2017-09-29
235,2017-09-08,2017-09-07,2017-09-28,2017-09-28,2017-09-29,2017-10-06
236,2017-09-15,2017-09-14,2017-10-05,2017-10-05,2017-10-06,2017-10-13
237,2017-09-22,2017-09-21,2017-10-12,2017-10-12,2017-10-13,2017-10-20
238,2017-09-29,2017-09-28,2017-10-19,2017-10-19,2017-10-20,2017-10-27
239,2017-10-06,2017-10-05,2017-10-26,2017-10-26,2017-10-27,2017-11-03
240,2017-10-13,2017-10-12,2017-11-02,2017-11-02,2017-11-03,2017-11-10
241,2017-10-20,2017-10-19,2017-11-09,2017-11-09,2017-11-10,2017-11-17
242,2017-10-27,2017-10-26,2017-11-16,2017-11-16,2017-11-17,2017-11-27
243,2017-11-03,2017-11-02,2017-11-24,2017-11-24,2017-11-27,2017-12-04
244,2017-11-10,2017-11-09,2017-12-01,2017-12-01,2017-12-04,2017-12-11
245,2017-11-17,2017-11-16,2017-12-08,2017-12-08,2017-12-11,2017-12-18
246,2017-11-27,2017-11-24,2017-12-15,2017-12-15,2017-12-18,2017-12-26
247,2017-12-04,2017-12-01,2017-12-22,2017-12-22,2017-12-26,2018-01-03
248,2017-12-11,2017-12-08,2018-01-02,2018-01-02,2018-01-03,2018-01-10
249,2017-12-18,2017-12-15,2018-01-09,2018-01-09,2018-01-10,2018-01-18
250,2017-12-26,2017-12-22,2018-01-17,2018-01-17,2018-01-18,2018-01-25
251,2018-01-03,2018-01-02,2018-01-24,2018-01-24,2018-01-25,2018-02-01
252,2018-01-10,2018-01-09,2018-01-31,2018-01-31,2018-02-01,2018-02-08
253,2018-01-18,2018-01-17,2018-02-07,2018-02-07,2018-02-08,2018-02-15
254,2018-01-25,2018-01-24,2018-02-14,2018-02-14,2018-02-15,2018-02-23
255,2018-02-01,2018-01-31,2018-02-22,2018-02-22,2018-02-23,2018-03-02
256,2018-02-08,2018-02-07,2018-03-01,2018-03-01,2018-03-02,2018-03-09
257,2018-02-15,2018-02-14,2018-03-08,2018-03-08,2018-03-09,2018-03-16
258,2018-02-23,2018-02-22,2018-03-15,2018-03-15,2018-03-16,2018-03-23
259,2018-03-02,2018-03-01,2018-03-22,2018-03-22,2018-03-23,2018-04-02
260,2018-03-09,2018-03-08,2018-03-29,2018-03-29,2018-04-02,2018-04-09
261,2018-03-16,2018-03-15,2018-04-06,2018-04-06,2018-04-09,2018-04-16
262,2018-03-23,2018-03-22,2018-04-13,2018-04-13,2018-04-16,2018-04-23
263,2018-04-02,2018-03-29,2018-04-20,2018-04-20,2018-04-23,2018-04-30
264,2018-04-09,2018-04-06,2018-04-27,2018-04-27,2018-04-30,2018-05-07
265,2018-04-16,2018-04-13,2018-05-04,2018-05-04,2018-05-07,2018-05-14
266,2018-04-23,2018-04-20,2018-05-11,2018-05-11,2018-05-14,2018-05-21
267,2018-04-30,2018-04-27,2018-05-18,2018-05-18,2018-05-21,2018-05-29
268,2018-05-07,2018-05-04,2018-05-25,2018-05-25,2018-05-29,2018-06-05
269,2018-05-14,2018-05-11,2018-06-04,2018-06-04,2018-06-05,2018-06-12
270,2018-05-21,2018-05-18,2018-06-11,2018-06-11,2018-06-12,2018-06-19
271,2018-05-29,2018-05-25,2018-06-18,2018-06-18,2018-06-19,2018-06-26
272,2018-06-05,2018-06-04,2018-06-25,2018-06-25,2018-06-26,2018-07-03
273,2018-06-12,2018-06-11,2018-07-02,2018-07-02,2018-07-03,2018-07-11
274,2018-06-19,2018-06-18,2018-07-10,2018-07-10,2018-07-11,2018-07-18
275,2018-06-26,2018-06-25,2018-07-17,2018-07-17,2018-07-18,2018-07-25
276,2018-07-03,2018-07-02,2018-07-24,2018-07-24,2018-07-25,2018-08-01
277,2018-07-11,2018-07-10,2018-07-31,2018-07-31,2018-08-01,2018-08-08
278,2018-07-18,2018-07-17,2018-08-07,2018-08-07,2018-08-08,2018-08-15
279,2018-07-25,2018-07-24,2018-08-14,2018-08-14,2018-08-15,2018-08-22
280,2018-08-01,2018-07-31,2018-08-21,2018-08-21,2018-08-22,2018-08-29
281,2018-08-08,2018-08-07,2018-08-28,2018-08-28,2018-08-29,2018-09-06
282,2018-08-15,2018-08-14,2018-09-05,2018-09-05,2018-09-06,2018-09-13
283,2018-08-22,2018-08-21,2018-09-12,2018-09-12,2018-09-13,2018-09-20
284,2018-08-29,2018-08-28,2018-09-19,2018-09-19,2018-09-20,2018-09-27
285,2018-09-06,2018-09-05,2018-09-26,2018-09-26,2018-09-27,2018-10-04
286,2018-09-13,2018-09-12,2018-10-03,2018-10-03,2018-10-04,2018-10-11
287,2018-09-20,2018-09-19,2018-10-10,2018-10-10,2018-10-11,2018-10-18
288,2018-09-27,2018-09-26,2018-10-17,2018-10-17,2018-10-18,2018-10-25
289,2018-10-04,2018-10-03,2018-10-24,2018-10-24,2018-10-25,2018-11-01
290,2018-10-11,2018-10-10,2018-10-31,2018-10-31,2018-11-01,2018-11-08
291,2018-10-18,2018-10-17,2018-11-07,2018-11-07,2018-11-08,2018-11-15
292,2018-10-25,2018-10-24,2018-11-14,2018-11-14,2018-11-15,2018-11-23
293,2018-11-01,2018-10-31,2018-11-21,2018-11-21,2018-11-23,2018-11-30
294,2018-11-08,2018-11-07,2018-11-29,2018-11-29,2018-11-30,2018-12-10
295,2018-11-15,2018-11-14,2018-12-07,2018-12-07,2018-12-10,2018-12-17
296,2018-11-23,2018-11-21,2018-12-14,2018-12-14,2018-12-17,2018-12-24
297,2018-11-30,2018-11-29,2018-12-21,2018-12-21,2018-12-24,2019-01-02
298,2018-12-10,2018-12-07,2018-12-31,2018-12-31,2019-01-02,2019-01-09
299,2018-12-17,2018-12-14,2019-01-08,2019-01-08,2019-01-09,2019-01-16
300,2018-12-24,2018-12-21,2019-01-15,2019-01-15,2019-01-16,2019-01-24
301,2019-01-02,2018-12-31,2019-01-23,2019-01-23,2019-01-24,2019-01-31
302,2019-01-09,2019-01-08,2019-01-30,2019-01-30,2019-01-31,2019-02-07
303,2019-01-16,2019-01-15,2019-02-06,2019-02-06,2019-02-07,2019-02-14
304,2019-01-24,2019-01-23,2019-02-13,2019-02-13,2019-02-14,2019-02-22
305,2019-01-31,2019-01-30,2019-02-21,2019-02-21,2019-02-22,2019-03-01
306,2019-02-07,2019-02-06,2019-02-28,2019-02-28,2019-03-01,2019-03-08
307,2019-02-14,2019-02-13,2019-03-07,2019-03-07,2019-03-08,2019-03-15
308,2019-02-22,2019-02-21,2019-03-14,2019-03-14,2019-03-15,2019-03-22
309,2019-03-01,2019-02-28,2019-03-21,2019-03-21,2019-03-22,2019-03-29
310,2019-03-08,2019-03-07,2019-03-28,2019-03-28,2019-03-29,2019-04-05
311,2019-03-15,2019-03-14,2019-04-04,2019-04-04,2019-04-05,2019-04-12
312,2019-03-22,2019-03-21,2019-04-11,2019-04-11,2019-04-12,2019-04-22
313,2019-03-29,2019-03-28,2019-04-18,2019-04-18,2019-04-22,2019-04-29
314,2019-04-05,2019-04-04,2019-04-26,2019-04-26,2019-04-29,2019-05-06
315,2019-04-12,2019-04-11,2019-05-03,2019-05-03,2019-05-06,2019-05-13
