sample_index,input_start_date,normalization_basis_date,information_end_date,input_end_date,execution_date,target_end_date
43,2009-11-16,2009-11-13,2009-12-07,2009-12-07,2009-12-08,2009-12-15
44,2009-11-23,2009-11-20,2009-12-14,2009-12-14,2009-12-15,2009-12-22
45,2009-12-01,2009-11-30,2009-12-21,2009-12-21,2009-12-22,2009-12-30
46,2009-12-08,2009-12-07,2009-12-29,2009-12-29,2009-12-30,2010-01-07
47,2009-12-15,2009-12-14,2010-01-06,2010-01-06,2010-01-07,2010-01-14
48,2009-12-22,2009-12-21,2010-01-13,2010-01-13,2010-01-14,2010-01-22
49,2009-12-30,2009-12-29,2010-01-21,2010-01-21,2010-01-22,2010-01-29
50,2010-01-07,2010-01-06,2010-01-28,2010-01-28,2010-01-29,2010-02-05
51,2010-01-14,2010-01-13,2010-02-04,2010-02-04,2010-02-05,2010-02-12
52,2010-01-22,2010-01-21,2010-02-11,2010-02-11,2010-02-12,2010-02-22
53,2010-01-29,2010-01-28,2010-02-19,2010-02-19,2010-02-22,2010-03-01
54,2010-02-05,2010-02-04,2010-02-26,2010-02-26,2010-03-01,2010-03-08
55,2010-02-12,2010-02-11,2010-03-05,2010-03-05,2010-03-08,2010-03-15
56,2010-02-22,2010-02-19,2010-03-12,2010-03-12,2010-03-15,2010-03-22
57,2010-03-01,2010-02-26,2010-03-19,2010-03-19,2010-03-22,2010-03-29
58,2010-03-08,2010-03-05,2010-03-26,2010-03-26,2010-03-29,2010-04-06
59,2010-03-15,2010-03-12,2010-04-05,2010-04-05,2010-04-06,2010-04-13
60,2010-03-22,2010-03-19,2010-04-12,2010-04-12,2010-04-13,2010-04-20
61,2010-03-29,2010-03-26,2010-04-19,2010-04-19,2010-04-20,2010-04-27
62,2010-04-06,2010-04-05,2010-04-26,2010-04-26,2010-04-27,2010-05-04
63,2010-04-13,2010-04-12,2010-05-03,2010-05-03,2010-05-04,2010-05-11
64,2010-04-20,2010-04-19,2010-05-10,2010-05-10,2010-05-11,2010-05-18
65,2010-04-27,2010-04-26,2010-05-17,2010-05-17,2010-05-18,2010-05-25
66,2010-05-04,2010-05-03,2010-05-24,2010-05-24,2010-05-25,2010-06-02
67,2010-05-11,2010-05-10,2010-06-01,2010-06-01,2010-06-02,2010-06-09
68,2010-05-18,2010-05-17,2010-06-08,2010-06-08,2010-06-09,2010-06-16
69,2010-05-25,2010-05-24,2010-06-15,2010-06-15,2010-06-16,2010-06-23
70,2010-06-02,2010-06-01,2010-06-22,2010-06-22,2010-06-23,2010-06-30
71,2010-06-09,2010-06-08,2010-06-29,2010-06-29,2010-06-30,2010-07-08
72,2010-06-16,2010-06-15,2010-07-07,2010-07-07,2010-07-08,2010-07-15
73,2010-06-23,2010-06-22,2010-07-14,2010-07-14,2010-07-15,2010-07-22
74,2010-06-30,2010-06-29,2010-07-21,2010-07-21,2010-07-22,2010-07-29
75,2010-07-08,2010-07-07,2010-07-28,2010-07-28,2010-07-29,2010-08-05
76,2010-07-15,2010-07-14,2010-08-04,2010-08-04,2010-08-05,2010-08-12
77,2010-07-22,2010-07-21,2010-08-11,2010-08-11,2010-08-12,2010-08-19
78,2010-07-29,2010-07-28,2010-08-18,2010-08-18,2010-08-19,2010-08-26
79,2010-08-05,2010-08-04,2010-08-25,2010-08-25,2010-08-26,2010-09-02
80,2010-08-12,2010-08-11,2010-09-01,2010-09-01,2010-09-02,2010-09-10
81,2010-08-19,2010-08-18,2010-09-09,2010-09-09,2010-09-10,2010-09-17
82,2010-08-26,2010-08-25,2010-09-16,2010-09-16,2010-09-17,2010-09-24
83,2010-09-02,2010-09-01,2010-09-23,2010-09-23,2010-09-24,2010-10-01
84,2010-09-10,2010-09-09,2010-09-30,2010-09-30,2010-10-01,2010-10-08
85,2010-09-17,2010-09-16,2010-10-07,2010-10-07,2010-10-08,2010-10-15
86,2010-09-24,2010-09-23,2010-10-14,2010-10-14,2010-10-15,2010-10-22
87,2010-10-01,2010-09-30,2010-10-21,2010-10-21,2010-10-22,2010-10-29
88,2010-10-08,2010-10-07,2010-10-28,2010-10-28,2010-10-29,2010-11-05
89,2010-10-15,2010-10-14,2010-11-04,2010-11-04,2010-11-05,2010-11-12
90,2010-10-22,2010-10-21,2010-11-11,2010-11-11,2010-11-12,2010-11-19
91,2010-10-29,2010-10-28,2010-11-18,2010-11-18,2010-11-19,2010-11-29
92,2010-11-05,2010-11-04,2010-11-26,2010-11-26,2010-11-29,2010-12-06
93,2010-11-12,2010-11-11,2010-12-03,2010-12-03,2010-12-06,2010-12-13
94,2010-11-19,2010-11-18,2010-12-10,2010-12-10,2010-12-13,2010-12-20
95,2010-11-29,2010-11-26,2010-12-17,2010-12-17,2010-12-20,2010-12-28
96,2010-12-06,2010-12-03,2010-12-27,2010-12-27,2010-12-28,2011-01-04
97,2010-12-13,2010-12-10,2011-01-03,2011-01-03,2011-01-04,2011-01-11
98,2010-12-20,2010-12-17,2011-01-10,2011-01-10,2011-01-11,2011-01-19
99,2010-12-28,2010-12-27,2011-01-18,2011-01-18,2011-01-19,2011-01-26
100,2011-01-04,2011-01-03,2011-01-25,2011-01-25,2011-01-26,2011-02-02
101,2011-01-11,2011-01-10,2011-02-01,2011-02-01,2011-02-02,2011-02-09
102,2011-01-19,2011-01-18,2011-02-08,2011-02-08,2011-02-09,2011-02-16
103,2011-01-26,2011-01-25,2011-02-15,2011-02-15,2011-02-16,2011-02-24
104,2011-02-02,2011-02-01,2011-02-23,2011-02-23,2011-02-24,2011-03-03
105,2011-02-09,2011-02-08,2011-03-02,2011-03-02,2011-03-03,2011-03-10
106,2011-02-16,2011-02-15,2011-03-09,2011-03-09,2011-03-10,2011-03-17
107,2011-02-24,2011-02-23,2011-03-16,2011-03-16,2011-03-17,2011-03-24
108,2011-03-03,2011-03-02,2011-03-23,2011-03-23,2011-03-24,2011-03-31
109,2011-03-10,2011-03-09,2011-03-30,2011-03-30,2011-03-31,2011-04-07
110,2011-03-17,2011-03-16,2011-04-06,2011-04-06,2011-04-07,2011-04-14
111,2011-03-24,2011-03-23,2011-04-13,2011-04-13,2011-04-14,2011-04-21
112,2011-03-31,2011-03-30,2011-04-20,2011-04-20,2011-04-21,2011-04-29
113,2011-04-07,2011-04-06,2011-04-28,2011-04-28,2011-04-29,2011-05-06
114,2011-04-14,2011-04-13,2011-05-05,2011-05-05,2011-05-06,2011-05-13
115,2011-04-21,2011-04-20,2011-05-12,2011-05-12,2011-05-13,2011-05-20
116,2011-04-29,2011-04-28,2011-05-19,2011-05-19,2011-05-20,2011-05-27
117,2011-05-06,2011-05-05,2011-05-26,2011-05-26,2011-05-27,2011-06-06
118,2011-05-13,2011-05-12,2011-06-03,2011-06-03,2011-06-06,2011-06-13
119,2011-05-20,2011-05-19,2011-06-10,2011-06-10,2011-06-13,2011-06-20
120,2011-05-27,2011-05-26,2011-06-17,2011-06-17,2011-06-20,2011-06-27
121,2011-06-06,2011-06-03,2011-06-24,2011-06-24,2011-06-27,2011-07-05
122,2011-06-13,2011-06-10,2011-07-01,2011-07-01,2011-07-05,2011-07-12
123,2011-06-20,2011-06-17,2011-07-11,2011-07-11,2011-07-12,2011-07-19
124,2011-06-27,2011-06-24,2011-07-18,2011-07-18,2011-07-19,2011-07-26
125,2011-07-05,2011-07-01,2011-07-25,2011-07-25,2011-07-26,2011-08-02
126,2011-07-12,2011-07-11,2011-08-01,2011-08-01,2011-08-02,2011-08-09
127,2011-07-19,2011-07-18,2011-08-08,2011-08-08,2011-08-09,2011-08-16
128,2011-07-26,2011-07-25,2011-08-15,2011-08-15,2011-08-16,2011-08-23
129,2011-08-02,2011-08-01,2011-08-22,2011-08-22,2011-08-23,2011-08-30
130,2011-08-09,2011-08-08,2011-08-29,2011-08-29,2011-08-30,2011-09-07
131,2011-08-16,2011-08-15,2011-09-06,2011-09-06,2011-09-07,2011-09-14
132,2011-08-23,2011-08-22,2011-09-13,2011-09-13,2011-09-14,2011-09-21
133,2011-08-30,2011-08-29,2011-09-20,2011-09-20,2011-09-21,2011-09-28
134,2011-09-07,2011-09-06,2011-09-27,2011-09-27,2011-09-28,2011-10-05
135,2011-09-14,2011-09-13,2011-10-04,2011-10-04,2011-10-05,2011-10-12
136,2011-09-21,2011-09-20,2011-10-11,2011-10-11,2011-10-12,2011-10-19
137,2011-09-28,2011-09-27,2011-10-18,2011-10-18,2011-10-19,2011-10-26
138,2011-10-05,2011-10-04,2011-10-25,2011-10-25,2011-10-26,2011-11-02
139,2011-10-12,2011-10-11,2011-11-01,2011-11-01,2011-11-02,2011-11-09
140,2011-10-19,2011-10-18,2011-11-08,2011-11-08,2011-11-09,2011-11-16
141,2011-10-26,2011-10-25,2011-11-15,2011-11-15,2011-11-16,2011-11-23
142,2011-11-02,2011-11-01,2011-11-22,2011-11-22,2011-11-23,2011-12-01
143,2011-11-09,2011-11-08,2011-11-30,2011-11-30,2011-12-01,2011-12-08
144,2011-11-16,2011-11-15,2011-12-07,2011-12-07,2011-12-08,2011-12-15
145,2011-11-23,2011-11-22,2011-12-14,2011-12-14,2011-12-15,2011-12-22
146,2011-12-01,2011-11-30,2011-12-21,2011-12-21,2011-12-22,2011-12-30
147,2011-12-08,2011-12-07,2011-12-29,2011-12-29,2011-12-30,2012-01-09
148,2011-12-15,2011-12-14,2012-01-06,2012-01-06,2012-01-09,2012-01-17
149,2011-12-22,2011-12-21,2012-01-13,2012-01-13,2012-01-17,2012-01-24
150,2011-12-30,2011-12-29,2012-01-23,2012-01-23,2012-01-24,2012-01-31
151,2012-01-09,2012-01-06,2012-01-30,2012-01-30,2012-01-31,2012-02-07
152,2012-01-17,2012-01-13,2012-02-06,2012-02-06,2012-02-07,2012-02-14
153,2012-01-24,2012-01-23,2012-02-13,2012-02-13,2012-02-14,2012-02-22
154,2012-01-31,2012-01-30,2012-02-21,2012-02-21,2012-02-22,2012-02-29
155,2012-02-07,2012-02-06,2012-02-28,2012-02-28,2012-02-29,2012-03-07
156,2012-02-14,2012-02-13,2012-03-06,2012-03-06,2012-03-07,2012-03-14
157,2012-02-22,2012-02-21,2012-03-13,2012-03-13,2012-03-14,2012-03-21
158,2012-02-29,2012-02-28,2012-03-20,2012-03-20,2012-03-21,2012-03-28
159,2012-03-07,2012-03-06,2012-03-27,2012-03-27,2012-03-28,2012-04-04
160,2012-03-14,2012-03-13,2012-04-03,2012-04-03,2012-04-04,2012-04-12
161,2012-03-21,2012-03-20,2012-04-11,2012-04-11,2012-04-12,2012-04-19
162,2012-03-28,2012-03-27,2012-04-18,2012-04-18,2012-04-19,2012-04-26
163,2012-04-04,2012-04-03,2012-04-25,2012-04-25,2012-04-26,2012-05-03
164,2012-04-12,2012-04-11,2012-05-02,2012-05-02,2012-05-03,2012-05-10
165,2012-04-19,2012-04-18,2012-05-09,2012-05-09,2012-05-10,2012-05-17
166,2012-04-26,2012-04-25,2012-05-16,2012-05-16,2012-05-17,2012-05-24
167,2012-05-03,2012-05-02,2012-05-23,2012-05-23,2012-05-24,2012-06-01
168,2012-05-10,2012-05-09,2012-05-31,2012-05-31,2012-06-01,2012-06-08
169,2012-05-17,2012-05-16,2012-06-07,2012-06-07,2012-06-08,2012-06-15
170,2012-05-24,2012-05-23,2012-06-14,2012-06-14,2012-06-15,2012-06-22
171,2012-06-01,2012-05-31,2012-06-21,2012-06-21,2012-06-22,2012-06-29
172,2012-06-08,2012-06-07,2012-06-28,2012-06-28,2012-06-29,2012-07-09
173,2012-06-15,2012-06-14,2012-07-06,2012-07-06,2012-07-09,2012-07-16
174,2012-06-22,2012-06-21,2012-07-13,2012-07-13,2012-07-16,2012-07-23
175,2012-06-29,2012-06-28,2012-07-20,2012-07-20,2012-07-23,2012-07-30
176,2012-07-09,2012-07-06,2012-07-27,2012-07-27,2012-07-30,2012-08-06
177,2012-07-16,2012-07-13,2012-08-03,2012-08-03,2012-08-06,2012-08-13
178,2012-07-23,2012-07-20,2012-08-10,2012-08-10,2012-08-13,2012-08-20
179,2012-07-30,2012-07-27,2012-08-17,2012-08-17,2012-08-20,2012-08-27
180,2012-08-06,2012-08-03,2012-08-24,2012-08-24,2012-08-27,2012-09-04
181,2012-08-13,2012-08-10,2012-08-31,2012-08-31,2012-09-04,2012-09-11
182,2012-08-20,2012-08-17,2012-09-10,2012-09-10,2012-09-11,2012-09-18
183,2012-08-27,2012-08-24,2012-09-17,2012-09-17,2012-09-18,2012-09-25
184,2012-09-04,2012-08-31,2012-09-24,2012-09-24,2012-09-25,2012-10-02
185,2012-09-11,2012-09-10,2012-10-01,2012-10-01,2012-10-02,2012-10-09
186,2012-09-18,2012-09-17,2012-10-08,2012-10-08,2012-10-09,2012-10-16
187,2012-09-25,2012-09-24,2012-10-15,2012-10-15,2012-10-16,2012-10-23
188,2012-10-02,2012-10-01,2012-10-22,2012-10-22,2012-10-23,2012-11-01
189,2012-10-09,2012-10-08,2012-10-31,2012-10-31,2012-11-01,2012-11-08
190,2012-10-16,2012-10-15,2012-11-07,2012-11-07,2012-11-08,2012-11-15
191,2012-10-23,2012-10-22,2012-11-14,2012-11-14,2012-11-15,2012-11-23
192,2012-11-01,2012-10-31,2012-11-21,2012-11-21,2012-11-23,2012-11-30
193,2012-11-08,2012-11-07,2012-11-29,2012-11-29,2012-11-30,2012-12-07
194,2012-11-15,2012-11-14,2012-12-06,2012-12-06,2012-12-07,2012-12-14
195,2012-11-23,2012-11-21,2012-12-13,2012-12-13,2012-12-14,2012-12-21
196,2012-11-30,2012-11-29,2012-12-20,2012-12-20,2012-12-21,2012-12-31
197,2012-12-07,2012-12-06,2012-12-28,2012-12-28,2012-12-31,2013-01-08
198,2012-12-14,2012-12-13,2013-01-07,2013-01-07,2013-01-08,2013-01-15
199,2012-12-21,2012-12-20,2013-01-14,2013-01-14,2013-01-15,2013-01-23
200,2012-12-31,2012-12-28,2013-01-22,2013-01-22,2013-01-23,2013-01-30
201,2013-01-08,2013-01-07,2013-01-29,2013-01-29,2013-01-30,2013-02-06
202,2013-01-15,2013-01-14,2013-02-05,2013-02-05,2013-02-06,2013-02-13
203,2013-01-23,2013-01-22,2013-02-12,2013-02-12,2013-02-13,2013-02-21
204,2013-01-30,2013-01-29,2013-02-20,2013-02-20,2013-02-21,2013-02-28
205,2013-02-06,2013-02-05,2013-02-27,2013-02-27,2013-02-28,2013-03-07
206,2013-02-13,2013-02-12,2013-03-06,2013-03-06,2013-03-07,2013-03-14
207,2013-02-21,2013-02-20,2013-03-13,2013-03-13,2013-03-14,2013-03-21
208,2013-02-28,2013-02-27,2013-03-20,2013-03-20,2013-03-21,2013-03-28
209,2013-03-07,2013-03-06,2013-03-27,2013-03-27,2013-03-28,2013-04-05
210,2013-03-14,2013-03-13,2013-04-04,2013-04-04,2013-04-05,2013-04-12
211,2013-03-21,2013-03-20,2013-04-11,2013-04-11,2013-04-12,2013-04-19
212,2013-03-28,2013-03-27,2013-04-18,2013-04-18,2013-04-19,2013-04-26
213,2013-04-05,2013-04-04,2013-04-25,2013-04-25,2013-04-26,2013-05-03
214,2013-04-12,2013-04-11,2013-05-02,2013-05-02,2013-05-03,2013-05-10
215,2013-04-19,2013-04-18,2013-05-09,2013-05-09,2013-05-10,2013-05-17
216,2013-04-26,2013-04-25,2013-05-16,2013-05-16,2013-05-17,2013-05-24
217,2013-05-03,2013-05-02,2013-05-23,2013-05-23,2013-05-24,2013-06-03
218,2013-05-10,2013-05-09,2013-05-31,2013-05-31,2013-06-03,2013-06-10
219,2013-05-17,2013-05-16,2013-06-07,2013-06-07,2013-06-10,2013-06-17
220,2013-05-24,2013-05-23,2013-06-14,2013-06-14,2013-06-17,2013-06-24
221,2013-06-03,2013-05-31,2013-06-21,2013-06-21,2013-06-24,2013-07-01
222,2013-06-10,2013-06-07,2013-06-28,2013-06-28,2013-07-01,2013-07-09
223,2013-06-17,2013-06-14,2013-07-08,2013-07-08,2013-07-09,2013-07-16
224,2013-06-24,2013-06-21,2013-07-15,2013-07-15,2013-07-16,2013-07-23
225,2013-07-01,2013-06-28,2013-07-22,2013-07-22,2013-07-23,2013-07-30
226,2013-07-09,2013-07-08,2013-07-29,2013-07-29,2013-07-30,2013-08-06
227,2013-07-16,2013-07-15,2013-08-05,2013-08-05,2013-08-06,2013-08-13
228,2013-07-23,2013-07-22,2013-08-12,2013-08-12,2013-08-13,2013-08-20
229,2013-07-30,2013-07-29,2013-08-19,2013-08-19,2013-08-20,2013-08-27
230,2013-08-06,2013-08-05,2013-08-26,2013-08-26,2013-08-27,2013-09-04
231,2013-08-13,2013-08-12,2013-09-03,2013-09-03,2013-09-04,2013-09-11
232,2013-08-20,2013-08-19,2013-09-10,2013-09-10,2013-09-11,2013-09-18
233,2013-08-27,2013-08-26,2013-09-17,2013-09-17,2013-09-18,2013-09-25
234,2013-09-04,2013-09-03,2013-09-24,2013-09-24,2013-09-25,2013-10-02
235,2013-09-11,2013-09-10,2013-10-01,2013-10-01,2013-10-02,2013-10-09
236,2013-09-18,2013-09-17,2013-10-08,2013-10-08,2013-10-09,2013-10-16
237,2013-09-25,2013-09-24,2013-10-15,2013-10-15,2013-10-16,2013-10-23
238,2013-10-02,2013-10-01,2013-10-22,2013-10-22,2013-10-23,2013-10-30
239,2013-10-09,2013-10-08,2013-10-29,2013-10-29,2013-10-30,2013-11-06
240,2013-10-16,2013-10-15,2013-11-05,2013-11-05,2013-11-06,2013-11-13
241,2013-10-23,2013-10-22,2013-11-12,2013-11-12,2013-11-13,2013-11-20
242,2013-10-30,2013-10-29,2013-11-19,2013-11-19,2013-11-20,2013-11-27
243,2013-11-06,2013-11-05,2013-11-26,2013-11-26,2013-11-27,2013-12-05
244,2013-11-13,2013-11-12,2013-12-04,2013-12-04,2013-12-05,2013-12-12
245,2013-11-20,2013-11-19,2013-12-11,2013-12-11,2013-12-12,2013-12-19
246,2013-11-27,2013-11-26,2013-12-18,2013-12-18,2013-12-19,2013-12-27
247,2013-12-05,2013-12-04,2013-12-26,2013-12-26,2013-12-27,2014-01-06
248,2013-12-12,2013-12-11,2014-01-03,2014-01-03,2014-01-06,2014-01-13
249,2013-12-19,2013-12-18,2014-01-10,2014-01-10,2014-01-13,2014-01-21
250,2013-12-27,2013-12-26,2014-01-17,2014-01-17,2014-01-21,2014-01-28
251,2014-01-06,2014-01-03,2014-01-27,2014-01-27,2014-01-28,2014-02-04
252,2014-01-13,2014-01-10,2014-02-03,2014-02-03,2014-02-04,2014-02-11
253,2014-01-21,2014-01-17,2014-02-10,2014-02-10,2014-02-11,2014-02-19
254,2014-01-28,2014-01-27,2014-02-18,2014-02-18,2014-02-19,2014-02-26
255,2014-02-04,2014-02-03,2014-02-25,2014-02-25,2014-02-26,2014-03-05
256,2014-02-11,2014-02-10,2014-03-04,2014-03-04,2014-03-05,2014-03-12
257,2014-02-19,2014-02-18,2014-03-11,2014-03-11,2014-03-12,2014-03-19
258,2014-02-26,2014-02-25,2014-03-18,2014-03-18,2014-03-19,2014-03-26
259,2014-03-05,2014-03-04,2014-03-25,2014-03-25,2014-03-26,2014-04-02
260,2014-03-12,2014-03-11,2014-04-01,2014-04-01,2014-04-02,2014-04-09
261,2014-03-19,2014-03-18,2014-04-08,2014-04-08,2014-04-09,2014-04-16
262,2014-03-26,2014-03-25,2014-04-15,2014-04-15,2014-04-16,2014-04-24
263,2014-04-02,2014-04-01,2014-04-23,2014-04-23,2014-04-24,2014-05-01
264,2014-04-09,2014-04-08,2014-04-30,2014-04-30,2014-05-01,2014-05-08
265,2014-04-16,2014-04-15,2014-05-07,2014-05-07,2014-05-08,2014-05-15
266,2014-04-24,2014-04-23,2014-05-14,2014-05-14,2014-05-15,2014-05-22
267,2014-05-01,2014-04-30,2014-05-21,2014-05-21,2014-05-22,2014-05-30
268,2014-05-08,2014-05-07,2014-05-29,2014-05-29,2014-05-30,2014-06-06
269,2014-05-15,2014-05-14,2014-06-05,2014-06-05,2014-06-06,2014-06-13
270,2014-05-22,2014-05-21,2014-06-12,2014-06-12,2014-06-13,2014-06-20
271,2014-05-30,2014-05-29,2014-06-19,2014-06-19,2014-06-20,2014-06-27
272,2014-06-06,2014-06-05,2014-06-26,2014-06-26,2014-06-27,2014-07-07
273,2014-06-13,2014-06-12,2014-07-03,2014-07-03,2014-07-07,2014-07-14
274,2014-06-20,2014-06-19,2014-07-11,2014-07-11,2014-07-14,2014-07-21
275,2014-06-27,2014-06-26,2014-07-18,2014-07-18,2014-07-21,2014-07-28
276,2014-07-07,2014-07-03,2014-07-25,2014-07-25,2014-07-28,2014-08-04
277,2014-07-14,2014-07-11,2014-08-01,2014-08-01,2014-08-04,2014-08-11
278,2014-07-21,2014-07-18,2014-08-08,2014-08-08,2014-08-11,2014-08-18
279,2014-07-28,2014-07-25,2014-08-15,2014-08-15,2014-08-18,2014-08-25
280,2014-08-04,2014-08-01,2014-08-22,2014-08-22,2014-08-25,2014-09-02
281,2014-08-11,2014-08-08,2014-08-29,2014-08-29,2014-09-02,2014-09-09
282,2014-08-18,2014-08-15,2014-09-08,2014-09-08,2014-09-09,2014-09-16
283,2014-08-25,2014-08-22,2014-09-15,2014-09-15,2014-09-16,2014-09-23
284,2014-09-02,2014-08-29,2014-09-22,2014-09-22,2014-09-23,2014-09-30
285,2014-09-09,2014-09-08,2014-09-29,2014-09-29,2014-09-30,2014-10-07
286,2014-09-16,2014-09-15,2014-10-06,2014-10-06,2014-10-07,2014-10-14
287,2014-09-23,2014-09-22,2014-10-13,2014-10-13,2014-10-14,2014-10-21
288,2014-09-30,2014-09-29,2014-10-20,2014-10-20,2014-10-21,2014-10-28
289,2014-10-07,2014-10-06,2014-10-27,2014-10-27,2014-10-28,2014-11-04
290,2014-10-14,2014-10-13,2014-11-03,2014-11-03,2014-11-04,2014-11-11
291,2014-10-21,2014-10-20,2014-11-10,2014-11-10,2014-11-11,2014-11-18
292,2014-10-28,2014-10-27,2014-11-17,2014-11-17,2014-11-18,2014-11-25
293,2014-11-04,2014-11-03,2014-11-24,2014-11-24,2014-11-25,2014-12-03
294,2014-11-11,2014-11-10,2014-12-02,2014-12-02,2014-12-03,2014-12-10
295,2014-11-18,2014-11-17,2014-12-09,2014-12-09,2014-12-10,2014-12-17
296,2014-11-25,2014-11-24,2014-12-16,2014-12-16,2014-12-17,2014-12-24
297,2014-12-03,2014-12-02,2014-12-23,2014-12-23,2014-12-24,2015-01-02
298,2014-12-10,2014-12-09,2014-12-31,2014-12-31,2015-01-02,2015-01-09
299,2014-12-17,2014-12-16,2015-01-08,2015-01-08,2015-01-09,2015-01-16
300,2014-12-24,2014-12-23,2015-01-15,2015-01-15,2015-01-16,2015-01-26
301,2015-01-02,2014-12-31,2015-01-23,2015-01-23,2015-01-26,2015-02-02
302,2015-01-09,2015-01-08,2015-01-30,2015-01-30,2015-02-02,2015-02-09
303,2015-01-16,2015-01-15,2015-02-06,2015-02-06,2015-02-09,2015-02-17
304,2015-01-26,2015-01-23,2015-02-13,2015-02-13,2015-02-17,2015-02-24
305,2015-02-02,2015-01-30,2015-02-23,2015-02-23,2015-02-24,2015-03-03
306,2015-02-09,2015-02-06,2015-03-02,2015-03-02,2015-03-03,2015-03-10
307,2015-02-17,2015-02-13,2015-03-09,2015-03-09,2015-03-10,2015-03-17
308,2015-02-24,2015-02-23,2015-03-16,2015-03-16,2015-03-17,2015-03-24
309,2015-03-03,2015-03-02,2015-03-23,2015-03-23,2015-03-24,2015-03-31
310,2015-03-10,2015-03-09,2015-03-30,2015-03-30,2015-03-31,2015-04-08
311,2015-03-17,2015-03-16,2015-04-07,2015-04-07,2015-04-08,2015-04-15
312,2015-03-24,2015-03-23,2015-04-14,2015-04-14,2015-04-15,2015-04-22
313,2015-03-31,2015-03-30,2015-04-21,2015-04-21,2015-04-22,2015-04-29
314,2015-04-08,2015-04-07,2015-04-28,2015-04-28,2015-04-29,2015-05-06
315,2015-04-15,2015-04-14,2015-05-05,2015-05-05,2015-05-06,2015-05-13
